region;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc
1;193935;500000;500000;205000;550000;193917;5;3;5;3;33,1762032441001;11,9350891814209
2;211408;600000;600000;250000;650000;193935;6;3;5;3;35,0154827329619;12,1173234456881
3;200000;500000;550000;220000;600000;200000;5;3;5;3;35,7983722267072;11,5516548005005
4;200000;490000;500000;200000;500000;193935;4;2;5;3;37,8517672038126;11,4690634517257
5;215861;450000;474124;275000;480000;203917;5;3;5;3;38,5681287497933;11,9959452810005
6;219528;450000;500000;220000;490000;209778;5;3;5;3;38,4757344149414;11,0098648987863
7;202250;400000;435000;193000;420000;200000;4;2;5;3;38,1630868120507;10,7565833659225
8;200000;470000;500000;280000;500000;199778;4;2;5;3;37,7566242676199;11,6866234082807
9;193917;400000;430000;200000;450000;173261;3;2;5;3;37,9567739727163;11,0067426256334
10;208333;450000;484167;200000;500000;200000;5;3;5;3;38,3972199337606;10,7607157300204
11;261000;500000;590000;220000;550000;250000;6;3;5;3;35,4935460290729;11,3108128825312
12;337132;600000;604167;260000;630000;300000;6;3;5;3;37,7392384288326;12,0018428996789
13;300000;520000;600000;250000;600000;280861;6;3;5;3;36,4671424343860;12,6936239046723
14;209778;448643;454167;250000;480000;209778;4;2;5;3;37,9590074591745;11,1345519374777
15;200861;450000;500000;230000;500000;198310;5;3;5;3;35,8552119662094;12,1632603012512
16;199778;400000;420000;220000;420000;193935;4;2;5;3;39,7750623094759;10,6811123284715
